I r,AP Cost,MP Cost,Sphere,Range,Shape,Power,Duration
"hurdling downwards, you desperately prepare for impact.

Grants slowfall 1 for the spells duration",,,,,,,
Cliff racer’s shuffle,4,6,alteration,-,self,adept,6
"you glide peak to peak, gaining slowfall 2 for the spell duration.",,,,,,,
Stairs of the student ,4,2,Mysticism ￼,-,Self,Apprentice,Five minutes ￼
You gain one level of levitation ,,,,,,,
Levitation ,2,4,Mysticism,-,Targeted,Adept,6
You gain levitation level 2.,,,,,,,
Greater levitation ,2,8,Mysticism,Short,Targeted ,Expert.,6
"You gain levitation level 3, or apply it to a targeted object weighing no more than your own body. On your turn, you may move the object as if it were your body, as long as it remains within line of sight.",,,,,,,
Wings of the War-Magi,4,10,Mysticism,Short,Targeted,Master,10 minutes 
Target yourself and up to five other people. Each of you gain levitation 4 for the spells duration. The spell effect can end early for targeted persons if they get to extreme range or further from the caster.,,,,,,,
Shalidore's Slip-Stream,4,10,Mysticism ,-,Self,Master,4hours
"Through a complex working of mysticism and alteration, grant yourself levitation 4, shed your body weights, make yourself immune to air friction, and launch yourself over the horizon.

Immediately after casting the spell, you pick a direction and launch yourself as far as you can in that direction on this turn. On subsequent turns, you must spend at least half of your AP that round to move in that direction. While the spell remains in effect, on your turn you may spend 2 AP to attempt a DC 15 acrobatics check to pick a new direction.

If you were not in combat, and have time to build a momentum, you will eventually build up enough momentum to fly 5 km (a little over one league) In a minute, or 300km/hr. It takes about 10 minutes to hit maximum speed.",,,,,,,
Levitation rune,3,3,Mysticism,Short,5 foot radius ,Apprentice,1 hour
"You cast a rune onto the ground which quickly fades from visibility, unless you decide otherwise. The rune projects an invisible column of magica up from its face, 60 feet high. Typically this column is vertical, but it may be horizontal if the rune itself is placed on a vertical surface. 

While inside this column, sentient beings gain levitation 2. Effect en immediately if you exit the area of the spell.",,,,,,,
Karsus' levitation master rune,3,3,Mysticism ,Short,Targeted ,Adept,1 hour
"You cast a magenta rune onto an object which (unless you decide otherwise) quickly fades from visibility. 

While the spell persists, the rune (and the object attached to it) is considered to have two levels of the flight condition. You may spend AP on your turn to move the object using the normal movement rules. The rune may not travel further from you than the spells maximum range, and may not support more than 250 pounds. 

When you increase this spells DC by focusing, you gain an additional optional effect to empower the spell with. For every +1 to the spell DC, the rune may lift an additional 100 pounds.
",,,,,,,
Slippers of Tellvanus,2,3,alteration,-,self,apprentice,1 hour
"the soles of your feet lift off the ground, safe from the snow and filth below. 

You gain flight 3 for the spells duration, but may not fly higher than 8 inches from the ground.",,,,,,,
Fire rune,2,3,destruction,short,5ft square,apprentice,4 hours
"casts a rune on the ground that quickly fades from visibility, requiring a dc 15 notice check to perceive. 

stepping in PB vicinity of the rune detonates it, dealing 4 fire damage and 1 ( max 3) level of burning to anyone within the same vicinity. 

Dealing damage to a rune will detonate it early. The Runes creator stepping in its vicinity will not.",,,,,,,
Frost rune,2,3,destruction,short,5ft square,apprentice,4 hours
"casts a rune on the ground that quickly fades from visibility, requiring a dc 15 notice check to perceive. 

stepping in PB vicinity of the rune detonates it, dealing 4 frost damage and the chilled condition to anyone within the same vicinity. 

Dealing damage to a rune will detonate it early. The Runes creator stepping in its vicinity will not",,,,,,,
Lightning rune,2,5,destruction,short,5ft Square,apprentice,4 hours
"casts a rune on the ground that quickly fades from visibility, requiring a dc 15 notice check to perceive. 

stepping in PB vicinity of the rune detonates it, dealing 4 lightning damage and draining 2 magica from anyone within the same vicinity.

Characters enhanced by temporary spell effects (e.g. an oakflesh spell) Who are in the runes blast radius make a DC 10 will check For each effect. Failing a will check ends the spell effect early if its power is less than that of the rune. 

Dealing damage to a rune will detonate it early. The Runes creator stepping in its vicinity will not",,,,,,,
Fire bolt,1,2,destruction,short,singular,apprentice,-
deals 6 fire damage and inflicts burning 2 (max 2),,,,,,,
Ice spike,2,2,destruction,Short,singular,apprentice,-
"deals 3 frost and 3 piercings damage, inflicts chilled condition",,,,,,,
Lightning bolt,1,2,destruction,medium,singular,apprentice,-
"deals 5 lightning damage, and drains 4 magica.",,,,,,,
Harvest moisture,3,4,alteration,short,targeted,apprentice,concentration
"while in a moist or temperate environment, casting this spell draws water out of the air and creates a 5ft radius of clean water. The water then pores down as appropriate for the space it’s conjured into. Casting the spell repeatedly in the same space increases the volume of water created.
This spell may inflict the wet condition if a creature is inside the space the water is conjured into.
If this spell is cast in an area of especially dense fog, that fog is destroyed within 15 feet of the casting area.",,,,,,,
Create fog,2,2,alteration,short,15 ft radius,apprentice,4 hours
"you target a quantity of water no larger than 5 square feet and destroy it, creating a 15 foot radius of fog in its place. The fog inflicts +2 concealment creatures attempting to see in or out of it. Casting the spell on a body of water inside of a pre-existing fog cloud creates a new fog cloud anywhere on the perimeter of the existing one.
If left undisturbed The fog lingers for four hours. Direct sunlight or wind may disperse it more quickly.",,,,,,,
Cyrodiils Socialite Song,4,6,Illusion,short,targeted,adept,1 minute
"A sourceless pleasant tune begins to play, as the target's face takes on a look of blank naivete. The GM is advised to play “Harvest Dawn” from the Oblivion OST for the duration of the spell. 

You must roll an Illusion check with disadvantage, vs. the target who rolls 1d20 plus their will and half their level. If you fail, they know someone attempted this spell on them immediately, though not your identity or location.

All speechcraft, deceive, and threaten checks made against the target gain three levels of advantage. Whenever one of these three skill checks are successfully made against the target, their response will always be more extreme than expected, sometimes to absurd effect. For example, successfully threatening a merchant into giving you a discount may also cause them to break down crying and poop themselves.

If speechcraft, deceive, or threaten check against the target is critically successful, the target reacts as if they were under the effect of a mind altering condition, determined by which skill was used. 
Speechcraft: The target becomes calmed, ceasing hostile action against any and all creatures. 
Deceive: the target becomes enraged, causing them to take hostile action against any and all Creatures nearby, or a specific creature if they were the subject of your deception. 
Threaten: The target becomes demoralized, attempting to flee from any and all creatures nearby, or a specific creature if they were the object of your threaten check. 

As long as a target if affected by this spell, repeated successful social skill checks may cause them to whiplash their behavior back and forth. The same weeping shit-smeared merchant from earlier may suddenly be willing the fist fight the guards, if you convince them the guards called their mother fat. 

When the spell ends, the affected character may attempt an insight check vs the spell’s DC to recognise what has happened.",,,,,,,
body horror,,,illusion,short,singular,,1 hour
"You make an observational comment about some horrible thing happenning to the targets body, and they percieve it to be so. you might say, for example, ""Oh dear, your bones seem to be melting"" or ""I cant help but notice your sweat is VERY acidic"" or ""why have you flayed all your own skin just now?"". 

Effects to be written...",,,,,,,
burden,,,alteration,short,singular,apprentice,10 minutes
inflicts 1 [max 2] levels of encumbrance,,,,,,,
crippling burden,,,alteration,short,singular,adept,1 week
inflicts 1 [max 3] levels of encumbrance,,,,,,,
stumbling burden,,,alteration,medium,singular,expert,2 rounds
deal 3 (max 4) levels of encumbrance,,,,,,,
weight of your sins,,,illusion,short,radius 20ft,master,5 rounds
"your heart feels physical heavy in your chest and drags you to the ground. You suffer 4 levles of encumbrance, rolling will instead of athletics to attempt to stand up. As long as you retain 4 lvls of encumbrance, you suffer 4 points of mental damage whenever you preform an action while standing, or end your turn standig. ",,,,,,,
feather,,,alteration,pb,singular,apprentice,10 minutes
"your encumbrance lvl is reduced by 1 for the spells duration. if your encumbrance level is reduced to 0 after casting this spell, gain +1 advantage on skill checks to traverse weight sensitive terrain (such as a frozen lake or pressure plates) and +1 advantage on athletics checks to swim or climb. ",,,,,,,
greater feather,,,alteration,pb,singular,adept,10 minutes
"youre encumbrance lvl is reduced by 2 for the spells duration. if your encumbrance lvl is 0 after casting this spell, you gain +3 advantage on athletics checks to swim or climb, and you automaticly succeed and skill checks to traverse weight sensitive terrain (such as a frozen lake or a floor with pressure plates). ",,,,,,,
restore strength,,,restoration,pb,radius 10ft,adept,instantaneous
removes up to three levels of supernatural encumbrance. ,,,,,,,
jump,,,,,,,
,,,,,,,
tinur's hoptoad,,,,,,,
,,,,,,,
Icarian Flight,,,,,,expert,
,,,,,,,
Imbue Arrows,2,3,Alteration,Immediate,,apprentice,10 rounds
"You take hold of up to 10 arrows, Imbuing them for +2 Damage.",,,,,,,
Detect enchantment,,,,,,,
,,,,,,,
Detect life,,,,,,,
,,,,,,,
Detect death,,,,,,,
,,,,,,,
stoneflesh,,,,,,apprentice,
"You quickly invigorite your clothing, skin and/ or worn armour with the power of your magika, granting you Damage resistance of 5, against all attacks (unless otherwise specified ) until the effect wears of.  

When you roll alteration vs the spellcasting DC of this spell, you may add the value of your roll, minus the DC, to the spells base damage reduction. You may not increase the value of your spells DR higher than your maximum magica. If you are struck by a damage source of adept quality or greater, halve the value of your DR for that attack. ",,,,,,,
ironflesh,,,,,,adept,
"You quickly invigorite your clothing, skin and/ or worn armour with the power of your magika, granting you Damage resistance of 8, against all attacks (unless otherwise specified ) until the effect wears of.

When you roll alteration vs the spellcasting DC of this spell, you may add the value of your roll, minus the DC, to the spells base damage reduction. You may not increase the value of your spells DR higher than your maximum magica. If you are struck by a damage source of expert quality or greater, halve the value of your DR for that attack. ",,,,,,,
ebonyflesh,,,,,,expert,
"You quickly invigorite your clothing, skin and/ or worn armour with the power of your magika, granting you Damage resistance of 12, against all attacks (unless otherwise specified ) until the effect wears of.

When you roll alteration vs the spellcasting DC of this spell, you may add the value of your roll, minus the DC, to the spells base damage reduction. You may not increase the value of your spells DR higher than your maximum magica. If you are struck by a damage source of master quality or greater, halve the value of your DR for that attack. ",,,,,,,
dragonhide,,,,,,master,
,,,,,,,
shape earth,4,8,Alteration,,,adept,1 hour
Extrude soil and stone into any simple shape within a 30foot by 30foot by 30 foort  cube . This structure has 1 HP per foot of thickness in the area attacked.,,,,,,,
chain lightning,2,5,destruction,pb(it can chain between people further then this range),line,adept,
"Deal 4 dmage, and 4 MP damage. on hit, you maye roll again to hit another target in range withought risking losing the spell. You take 1 disadagvet on each attack after the first.",,,,,,,
war circit,2,3,destruction,short,targeted,adept,instantanious
"6 shock damage, 4 magica damage
If you hit a target with this spell, and then hit it again with this spell on your immediate next action, a “circuit” is created between you and the target. With The circuit created, the spell’s duration changes to concentration, and you gain back 1mp every two your target loses to magica damage.
While the circuit is established, Your target may attempt a destruction saving throw to escape it each time they take damage from it, Against your last destruction spellcheck. Saving throws to escape the circuit start at +2 difficulty, but the target receives a cumulative +1 advantage each time they fail, to a maximum of +2 advantage.￼",,,,,,,
cutting flame,2,3,destruction,medium,line,adept,concentration
"You conjure a vortex of wind around a Powerful jet of flame, building a long cutting spear of oxidizing fire.  it deals 8 points fire damage, 1 lvl (max 3) burning. the cutting flame will pierce through hard terrain (typicly stone or wood) up to 1 foot thick",,,,,,,
displace perception,3,2,illusion,long,,,concentration
"you shift your perspective whilst your body stands still. while this spell persists, your sense of  sight, hearing, and smell are transfered to an ethereal sensor, called a “sense-self”, well the same senses are disabled for your physical body. 
The sense-self only exists in your mind, so it has no physical form, and can only be detected through mind reading effects targeting you. 
The sense-self Can fly at the same speed as you walking. ",,,,,,,
vertigo,4,1,illusion,short,targeted,adept,1 minute
"you sabotage the targets sense of balance and inertia. Target suffers three levels of disadvantage on acrobatics checks, and must roll an acrobatics check against the DC 15 if they take a move action on their turn.
If the afflicted target rolls 10 or lower on an acrobatics check,  they immediately fall prone and vomit, gaining the poison (nausia) condition until the start of their next turn.",,,,,,,
Inflict life,2,5,restoration,touch,targeted,adept,1 hour
"The body is not a temple, but a forest. A carefully balanced biome, brimming with life. You empower but one part of the body, and watch the forest fall into discord.
with your touch You empower your targets bodily functions in a way that brings them great pain or discomfort. your target may resist this spell with an opposed athletcs save. on a faliure, Choose one of the following afflictions for your target to siffer for the spell duration. at the end of a targets turn, they may attempt another athletcs check against your own restoration roll to end the spell effect. 

Empowerd stomach acid: victim suffers 6 acid damage immediately and at the start of targets turn. Due to the intense pain, target also suffers +1 difficulty on all skill checks.
Anaphylactic swelling: Target suffers blindness lvl 2, loses their sense of smell/taste, and suffers +2 difficulty on all social or spoken spellcraft checks. 
Fevered shits: target gains the wet condition and SLOWED 1. whenever they take damage they are highly likley to shit themselves.  
Explosive blood pressure: Sources of slashing or piercing damage deal 4 additional points to the target, as the blood bursts from the wound. If the target is below full health they also accrue X?X lvls of bleeding. 
",,,,,,,
ignition,2,3,destruction,medium,targeted,apprentice,concentration
"1 fire damage, 0.5 (max 3) levels of burning. 
You draw invisible currents of energy into the target of your choice, causing it to heat from within and burst into flames if it is flammable. If they are able, the spells target may oppose your destruction skill check with their own destruction or mysticism check. 
Ignition can target any object or creature within line of sight. Alternately, you may choose a target that is enclosed in another object and therefore not visible, but you must know exactly what it is, where it is inside the object, and it must be materialy simple. For example you could heat  water inside of an enclosed barrel, but not specific components inside a dweamer lock, or a piece of armor in a dragons stomach. 

Creatures react to the burning condition as normal, but inanimate objects will go through different physical changes depending on how hot you’ve made them.
Burning 1: Water boils, wood warps and turns brittle, stone and metal are too hot to comfortably touch. Skill checks requiring contact with these materials are made with +2 difficulty.
Burning 2: water turns to steam and may burst containment vessels or create fog conditions, wood ignites, stone cracks and becomes unstable, metal objects lose a level of quality until repaired.
Burning 3: boil a pond sized quantity of water. Metal objects of adept quality or lesser Melt, while higher quality objects permanently lose two levels of quality. Wood disintigrates. Stone Detonates throwing shrapnel.

If you stop focusing on ignition, you target loses heat at 1lvl/ round. because the ignition spell does not procuce actual fire, it is not effected by the wet condition. ",,,,,,,
Stun,1,2,Illusion ,Close,Targeted,Novice,Instantaneous
"Target resists spellcheck with an opposed will saving throw. On failure, target gains slowed (4) until the beginning of their next turn. ",,,,,,,
Paralyze,1,4,Illusion,Close,Targeted,Apprentice,Three rounds
"Target resist spellcheck with opposing will saving throw.  On failure, the target gains slowed (4) for the duration of the spell effect. at the beginning of their turn, the subject may reattempt the will saving to end the effect early.",,,,,,,
shocking grasp,1,3,Destruction ,Pb,Singular,Apprentice,Instantaneous
"Target resists spellcheck with opposed athletics saving throw.
Deals 3 shock damage, 3 magica drain, and target gains slowed (4) until end of their next turn.",,,,,,,
Sleep paralysis,2,5,Illusion ,Close,Singular,Adept ,Five minutes
"Target resists spellcheck with opposed will saving throw. On failure target receives slowed (4), fall prone, and hallucinate suffocation. As long as the effect persists, at the end of the targets turn they receive eight mental damage.
At the beginning of the affected target turn, They may re-attempts their will saving throw to end the spell effect at +2 difficulty. On a failed roll of 10 or less, the target perceives a creature of nightmare sitting on their chest and take an additional four points mental damage immediately.
When the spell is cast on a creature who is sleeping, they do not automatically wake up, and make all will saves at an additional +2 difficulty. ",,,,,,,
Petrified delusions,4,5,Illusion,Close,singular,Expert,Permanent
"Your target feels your joints eyes and skin turns gray as they rapidly turn to stone. Or so they believe.
This spell is resisted by an will saving throw.
While the spell persists, target receives slowed (4), and all bludgioning damage delt to them as multiplied by three as if they were frozen. At the beginning of the target turn, they may re-attempt the will saving throw to end the effect at +2 disadvantage. If the target fails there will saving throw, they suffer 10 mental damage in panic, as they have no mouth but need to scream.
When a Characters dies from panic under the effects of the spell, their body stays standing permanently, as their panicked final moments linger into death. ",,,,,,,
Garden of Stone and glory,12,15,Illusion ,Medium,Radius 50ft,Master,Perminant
"A wave of awe and terror overcome your enemies, as they experience their joints locking still in a reverant pose, and their flesh turning to stone.
Characters in your AOE resist the spell craft check with an opposed will saving through. on a failure, afflicted creatures receive slowed (4) and believe they have turned a stone. While in the state, alluding damage dealt to afflicted creatures are multiplied by three, as if they were frozen. When you cast the spell, you may choose a pose for each afflicted creature to adopt, and decide how the crowd will perceive you.  You may force the afflicted crowd to love you, as if they were charmed, or fear you as if they were terrified.
Afflicted creatures may re-attempt their wheel saving through at +3 difficulty to escape the effect every 10 minutes. On a role of 10 or lower, they may no longer attempt their saving, as the effect becomes permanent until ended by other means.
Creatures who expire under the effects of the spell do not have their bodies collapse when they die, and instead maintain their pose indefinitely.",,,,,,,
Feast of mayhem,12,10,Illusion ,Close,Radius 50ft,Master,3 days
"You cry pandemonium, and the masses answer, Reaching for weapons or wine as their hearts desire.
Affected creatures resist your spell craft check with an opposed will saving throw. On a failure, the afflicted creatures flip a coin, and experience either ""wrath"", or ""hedonism"".
Creatures experiencing wrath become frenzied, using whatever weapons they can to kill whatever they can, without regard for prior allegiances. A character experiencing wrath may reattempt their will saving through to escape the effect anytime they kill someone.
Characters experiencing hedonism drop everything and engage in an orgy of food, wine, music, dancing and fornication with anyone else afflicted by hedonism. Non-pleasurable sensations are either filtered out or experienced as being pleasurable. A hedonist character may re-attempts their will saving through to escape the effect anytime they are physically harmed. If a hedonist character escapes the spell effect, they immediately become a prime target to any wrath afflicted characters who can see them.",,,,,,,
Crippling delusion,2,4,Illusion,Close,Singular ,Adept,One minute
Spell Absorbtion,2,1,Mysticisim,Close,Targeted,Adept,"Reaction, one round."
"While this spell persists you are able to take a reaction, costing 1 initiative and 1 MP, In response to a spell affecting, or being cast by, a target within range. You target the spell itself, and attempt to nullify the effect by syphoning off its magica.

When you take your reaction, roll a mystcism check. You may choose to spend additional MP and gain an equal amount of advantage. If your role meets or exceeds the spell craft check which produced the targeted spell, then the effect of the spell is halved, and you regain MP equal to half (min 1) the value of the targeted spell. If you beat the opposed spell craft check by more than 10 or CRIT, the targeted spell has no effect, and you Regain the full Magica value of the targeted spell and the magica you spent. 

If the targeted spell is of lower or higher quality than your casting of spell absorption,  you gain advatge for each power level you supercede theires, and taken disadvantge for each level they supersede you.",,,,,,,
Adept's Absorb Magika,2,2,Mysticisim,Medium,Targeted,Adept,concentration
"you make a spell attack, targeting a Person or an enchated Item with charges. on a hit, you may absorb 5 MP or two item charge. If a targets magica is drained to zero, you may continue the attack and instead deal one level of magica burn per casting. similarly, If an item is reduced to 0 Charges and damaged again, the item becomes Discharged.",,,,,,,
